voter,txid,for,power
SP2GPSRRW1MXYM5N1011W17EZ8HWPYXMDY1X9Z00Z,0x935295afaa092ea00aea2c980798a31028214e213f57134562e617d24dc8f1d0,true,2561033
SP3SAYJ9YPDS3MK76QH9BAFR27DA86E3H1EATGDTG,0x955e2f30eb2050837dabd5ddaaaa1ec78da3fae87d5baf957787e2c524fd4529,true,3221610
SP28ZTJS8Q58ERK8MDNFGQA85CHQRP4SYH85B95SG,0x83718228706422b6b3e6a5de8ed6c974743d6a63af7d8fd6bf9c8b616cd6b659,true,179469834
SP3F0Z7QSRDR8GK66A714DPBDSE429N9RKV4MR0J0,0x1aeeed2960eb1453f00a4c790c5f70ae6413f561cbd5b482c9837f848a5e28b9,true,30078078
SP2J1NM0YR9S2SD6VKHCTQ18C0ZB3EEDXY1VN2ZPF,0xf5826bb4685e4624a76c6a040014a7abb2686041e33392344c3affeefd2a2b1a,true,23691902
SP10FVY8H3ZHKPERY1DYZNF0XNM1P7J8F1RAH70QD,0x836682b21cda2423f799831a7926623a73e45d340823eff7333bf3aae565bbed,true,2337541
SPRSECC45ZWE1MKDT8CMH5Y3MG4NRQ4TJQXWAKE2,0x1515faf1b9f195510e5b1af924de0bdc4eb573083ae7e80bf16237c53bb26efc,true,12984370
SPAN3P3RA2QRGM8V1J8JFDX583EFFT2V9RDCVTZC,0x6391bdcae175ed82fbc10eff92c240aa7ea8321e4537a520551208c81ea547bf,true,7228399
SP2XT9VQ08317BJQH0EXCK1HE01CBEC9B69XSTE1D,0x69f9e8b876134e7f389ff66c10e5849b275d9d89899732df8a67faa297795788,true,4000411857
SP1YAVCV34TT37ACR0ZD9JTASMF915MJMHCN8ENCQ,0xc10a2362fabf78b7a4c90054000f184e9e9a8385146519826686aa55ec931269,true,33655202
SPQGBGEETB0DG0P6S125WBR6HCX1TNFHDB065AY5,0x70d2ae8c12a01c66707d060c36431d2f502adf91dbcc134434ed45e02e42ad64,true,97864435
SP2881ZP80PJMGKVM6P4C37KHN6F8G044HAVR884K,0x5dca26cfc1905d0efa37269d3cd4b5c73b750814ba0bd1fc9486bb0645d9d2b8,true,99995585
SP22682J0RP4AJSJ1JYFBQ1Q79Q880BVJDD28BPTR,0xa28931e47657d275e7df83c2eac96e90fe1d8d223dfd4783eec3d4aca223b41f,true,8096272790
SP3GNQC2QSD5B3YGH3AASXZE30D4T040JWW8KBNPC,0x0b0ad925e077b1264d6ef0d13a8df32bccffbdda68296937ba9c9b961dd25c07,true,30868350864
SP264K42S3AGW5ZHWPTY2XZ1YYX7CBQPYVPD5SSXQ,0x44298828276898ca0758341d1fa2aeec80288c5cdd45a877c811e5828daaf9c8,true,98648635
SP1EPWNPPGEZMGKHFZ6WXEZHTVTKH0CT77NM32X43,0x8b67b8ab409c91c6609d9df0881e79d7b6a93ed443cb26c6a6fb2cbc87f7deec,true,6724828
SP2EK6MPWJYXM0JE3K19AWCDT0041DFPMJERAPP9Y,0xd827bc26a076eca2e98e2820cdf287a4d2244759d9c70974903d2e03c417f189,true,1000000
SP68C69NS28RKRZ4TTVEN538287T5BXH22M5HGE1,0x593aa596aee7d12e8dce73f6480f51716a1cf381be1cc813d68f866c48f7779c,true,6570296
SP1P458Q2Z3CZY9CHDJ3GS5THDHCYD7PR0BM5JFZ3,0x07a673d61903c466b94ee135a32d2a42b3fb92c536e0528843683d4b9be2d191,false,1000000
SP23BJCKF48J19360XQ31Q7D3E07ST9J5H5E1HMK7,0xcf4b3c223df6997eccc82c097d074fffc903671fec7155f7de0b4f7bf2f38d87,true,55939087
SP3QC4R6M7M0DAZBXSZCW4FWGDCNDD05FV8Y0AY8C,0xfc196b7b1847e56b7751896bbfe5233f8e6aad0dce4c710dfb5d3860a78aef00,true,6024689
SP330R59339Q2WQNVX43Z5AN1GCYMFJ9PN3K66YQD,0x2193120f378db28f230674f322c3416c7ac0f08cdbac044de9d59b5b3da9f57c,true,23786718
SP327AMYAAJFHDSDGE6AD0HTACYQ4CCXJGT47M2H3,0x8ec8a6d0d5fa42922c7aa544b584103ee782e085100b00aa2649f9b08ba774b1,true,7370511
SPM2JZ5R7M6AZQTXKEM94K63E2CN95TT6AMMA5PP,0xdee509d866df34653d33a1bf4bc168c2b2490e77b623d6a6043fd63feee20163,true,4668675
SP2EDRYCPGTS32HZAGWV54RAVA2GTW0WPBP4HGCXR,0xca069edecfdd31a86a5b756cf4d6c3feb422e7e580543ef26b8c8883c9e66566,true,78040928
SPBP4KDPZJJYV8N8JRHS9135V0YXBZDSA5MYMREV,0xbbea7173e7faed12b722ced51e18bdd34ccfbea62afc4392318382c91ed19416,true,2079187
SP3EN2WMVAP7SNVV1QJA0ZZ6TC3R0044FZXE8PQTX,0x2faa9541de7804cab36469b21ff3771c0a552ad308040622761baf260d5768c4,true,20704274
SP2HJVJQS0TRBTQ1WAWWN9H9W2HKGDZ7H5EZCEAQC,0x9ff584b12bc07a03a2e4ebac46b12cf72ac9c1423f5c06df0c7b34509d8f06b1,true,38329473
SP376Y7METTJAT372GYDGD225YE20A01GAV7KJFKN,0xe17d80aa58dbf4862443d4c91a7b89b02a79d21398222ff53dc762443a67e50f,true,377899383
SPAFRYT831WS7ZRHGZBPMNCBJRBC0ZT884HFXERA,0x147b7f2b8244915b97d53c1ee2a7b17fa82fa5faace72a252cd46412557ef885,true,1000000
SP12V92X9H9C6F04AFX4C7NDRRMF4WD0S2EX33865,0x6528f0715d222d915de09a56295566a66e311b0235f8b2c24626bed3e830a2ff,true,5274622
SP1VETYCVMJCCBNYXB0YYAWKGFA4MKMW2C21SR72A,0xdfbe828d66584220243f4affe024afda5d691ccb72e8364fc76d6db3e01e5e30,true,4676800
SP1ZCGABS83EZGVNRNBANM585EKFH018GNB1X06DT,0x876fa585d65937dae8ca1ca3302fb6b917c7426f60ef9f5c03ec57e622b0450c,true,4376800
SP1PV390R5TW2PHCCJT1D0621WP9VXQD4J7SGMNQT,0x54ef411aef1087782986d1850f0bec89e486846d1d79aeebecd8e24813479700,true,5076800
SP18APAH9C1EPBD7QVGMNEF298CB9C95CMVW3M21P,0x2a4082f1e9a3be0616dc50a5e1b9c38b4a1cb9fad6a295e6881edb5372431bf1,true,5570232
SP3D5H0YZZBAY3XBFVRDT8AJEK6XDM3X623SHHQ81,0x9c732f5e4704e9d3d1688f4ce3e516c4ff49a681f03906d2be2e9493fe307a25,true,2441354
SP2J3F35AAWDTT52RDFR437D32TPAEE10NF9K0ZH8,0x8677cb2efe8ca2dd7b4e1d9320096ec16f63e0f4b0a19b6fbeef4a41ce8f1b62,true,2440668
SP3D9XBW1Y39W3X2KK5GAF4KYTGW3KVPNS4R2H2K7,0x8005add3b23709f4aee5dd6271bee639247f811ea5b34403823b153d1db1135a,true,2240668
SP3D4E8CVDPE7YVQAYAGRD9B43F53E13NYX5K0JVX,0x7b2435259b68b57b615df7314840ed8f17fdaf90e0363bb90d638955db987d95,true,2340668
SPFDXVD3GQFS77A112E95QTC7Z0JHC3W5G6C3PH5,0x9e3893e9cb98ffcd54879f9c52f40b65e8e2f6920f31472655a1c9c83a8a6f1e,true,3132715
SP2C9K1150C6E900YWGETMBZP6R4J1JMR3TWN2SHT,0xe9c8cd25893c318a2267536fb7fd4685672cbdc316a6ab94bf75ba9c82fb464e,true,3100051
SP1N6DW24K1SWHV6A4QYZGCJ9E9EHG0X7Y0MYAQ00,0x288488e59fbf3a86d4575292e0e2c2b4f0329812a20cd368a88cc0cd85529f1c,true,2100051
SPRW9XNCTE0RDS04D0Y5HHA5PDKR2A41CBAR3PB6,0x2072e90ed3d7adc208b40ec8d00fcbb97cf98eb2a1218462b1549b492881efdf,true,3100051
SP1GPX3ZYJNDX1509F4SENPEGT2EC4PV8AAZDAYPM,0xe37d0a31771d22ee41a34ab5e7f2505442dda4284584640dbe8d3115699e4b3e,true,3138673
SP3ESSFQ8Y0ZXBZB5XA60BFVV9NMTFR8Y1NCNMBGP,0xb45c612c8ff55b17a2630ec432d489fc3ed986dc67ea1fbf83b29e37d33d4c4a,true,1263785
SP3GPV7YEVS2VNFYYXEJA4HWXA0HFX4SMFK9F12P7,0xbb8e43a55aa7ecdb02df524286d0743d6ccd8072ace302e9846c46f0a969cf6e,true,165210513
SP2N7VSJ2DT9NY438G3VDWYFP3WWBKYN46GQPHH6T,0x1702a8613357c712683815424d5b8db2449b91f70aca1c01226da977b5c0aebc,true,18314864
SP19NPW1QYFAVJ4DFY9C29X9MMVD1RA3SGK033EZ8,0xf4d7cfd80c37cc7e0c7074120c9b0df34194d34ec02e5ed05fbc60662f775276,true,3153952
SPSEBFRZZEZSHGRKRR1Z55RX5AWHER3CYM0H9BMW,0x3df0996ef298010aa2fbabb280b326fc526eded19d5db84393ef6d9424f06866,true,996167964
SPXZJPEQ3P0721P7HTP2Y27DAY216Z3ZNQYXAWFR,0x37139a5435f6ff0fd9bcf7a7da528db377f822b38cfee6980befa336f9b3bbac,true,1865528
SP281NBPA7H99TPEBB22J1Y360GE3Z6735NN92C4D,0x410954df701dc226ea822a0c703ef77c2f17c00078b70991b0872e4f06767933,true,1464317
SPQ2AT2319NV91VDRXV1M6CJKKCBTBJ6RZYN6RE6,0x17c5ce3209c69f641099feab61783a8fde1ba3730b14dbd3a43f4306efd2349d,true,1991244
SP1Q1R96THZA9THXF2F0ZAJ7332Q1GHAPD97B5HF0,0xd6123d89b19dd0226dcbeea313e76a3266437ccca14ebb4c95546b7b9eb18bd4,true,1947299
SP29X2GDNP6SJBCS50W5C45WW3WZKENCHCR2TWCTJ,0x0925ffeb47e92cb4fe8e9f8ec00fdb56460e660d656c8220c52bf4f78457e605,true,2247299
SP25SWAJ0NXMH2EHEWE02VRW8VSY0SF7SQ9BFM0BK,0x831cdd24d7cb6947b57b2db56513ac8aa9816df95f1c9024fc951c4b5a80ec2e,true,2749477
SP3DGEBES323CX9KV5GAJGC8SRNWFKC1NK0GK6BH,0xd28f1dcf8f15a3f16cff71a19202f8a82aa43c0ecfcfcb8cf7871ecbcd3e9b07,true,2949477
SP1W2FZTH00ZEYDTCD62A7M5QFERRDHCH260B0QXF,0xb732c8117503b267ac8ba2c2a0b2cae133fd8553054d318148a247b43aa97d6e,true,2749477
SP13R0ZZW68NH96DF1JZ65B543TBRM6FPTCC05G39,0xbff981631fcdc08478151bdee0ab6f19f857419a24a9cbe554ae0d5bfd9d90e0,true,3420963
SP2F02FRWRSG74NH8CDWNHSRWS8YHBH04451R3ZXT,0xf9ac4dfb6bd1f47a7be605d79dda78d6c3de4c26e5cb3ada40d23f36cd104e18,true,2849477
SP8170ZRP66BQEQVYBNVK4F5R8QQ0B4S24XC27YR,0xc326ec0a7cb3c81ede1edb13274eae0b889abbd3a2c875dde74f67358d9c89d0,true,3100051
SP2HZMNKXP8JJGZ8W2B90CAZWP83ARH10BXNBKBGK,0x85ae320802b5bc026fd74d42952c316b7c1e66c609ffb41e5ba6e5e0d6620536,true,102804699
SP1YP3RVGRKV3F0PBC1ZQHGV1ACZT05087ZTPRZAQ,0xcf113f35955fe7895feba5eaaf9d91ce45df2db3d62a957623aaf1b2c7468eff,true,7071291
SP2ASZVDCGMZXC9RF8ZD3ED2JBMDM4TX87CGV8EN7,0xd033bdd2970bb12cdddae6b0abce892b72f8cfaae144cc776e4b963f13a0ac5b,true,8923415
SP2F0DP9Z3KSS0DABDBJN0DA0SHMCVWHXPVTH3PJJ,0xd04c803133cd880144efe75ad58b9f20b53f2fdc6fc910e78b21df411132c16b,true,71094069
SP1PHAGEQ5RWM8G84DFGMRPENKQGFC4QJ9YWXAYKF,0x83a4e75f67f6d3e1ee3a87659155895159ff0ba63d86406875cc6dfc3b33097f,true,23000000
SP36P3B159T3KFD8KM63HQXR3G2TW6AA1114Z8ZVJ,0xcec102199bb47dedf9a397e64bdb6073ed28243345f1acdf0537d53fd3bfaa30,false,3820540
SP1E4NAGDG5C42694ZZNQJDK7VJ41CVCYV1W1W148,0xddbfa143e4e489f9611a2a67cf339051bb4d824b1cb727887f4d24648b3f20e0,true,1876631
SP65J08Y7DX8FTDJKQVWCPPN8BRSQF5KMT2K4CD5,0xc5f031f3b53e31cfa79f2c6b119f6a89db7c0b44486f83380aaeb2914d81a0a8,true,1000021
SP25RK61425QBXW105M85SY22WJ46T6T6G5D1XJ9,0x22432a7819db13468e80329cff322610dfe48ca2c7436a95f4fbb16fc7768375,true,1077000
SP284MQ5HZJ22NQRWVMT2MB9YXCF7S1DDZRDPXB7Z,0xe85ce3e74512f154d992b3af7376a2ae526ae4aec82224652d153fd18ce3d56c,true,1819651
SP779SC9CDWQVMTRXT0HZCEHSDBXCHNGG7BC1H9B,0x5fc22b2580e027d3256b0e1a2fe32b4fb03a61e7f3bd742db2340c0c3c6181a1,true,5111448
SP16JSP1JMTBNV3GN5Y3JYEEPG5WK3SGSYDZSM7VJ,0xb22b20fce8d9581965fab81f94eee1832b3ce7950c655e33a41b5b8587f42258,true,1000000
SP3GGNDQASTXH0SVTSWVSNS7BP3RZ4MDXX25YW80J,0xe0c146e39e2ccef3d89424688f0f154265fdea1c568d70d60a71509e1d707062,true,17625139
SP12VTBRY3M9X3HKZH1ST668METTXR452V29XF7QJ,0x3944e08b6831555d79e6dc7542f256e581d21da0004ede2f9a031c76b943b5ca,true,89580230
SPFW2GN3FJPZRS7G2WS3VHJSGKKAWX2TS9BHKVHW,0xff251277c3c7854d27492b5014319e1bb8509148373b71c24f84064e29342e17,true,5787160
SPBGX7PWC5719ZSPCMA8YJGXM08HVV93SR5PQ102,0xaa6a94c0e505176e94e845ed3d5d814acdeedc741f41090c2cc69c9df10ff0d6,true,9213316
SP1ERZZ0G7KERNCXQDJF4GTHCF8DGZB8001YCNPQG,0xb11b5daebdfa16a75bcaf93baa0de25dffe16d8beac47a0087c310c3e6716d37,true,1457459
SPZ0JWFD70SD70QQ5YP9AHNFHCJXZG7ZB3QN6FYP,0xcf525fbbfbac298ca6f867d2a769c953335638aef7cc839024c40446b049ef29,false,13072584
SP25ZD9H455D2DMMPVGBADB0JDBFHJS1BTSGD9KYS,0x59d4647a239ca1cb172a359aa99857772592c4cb5d043a84de4596c8b85158dd,true,202099056
SP1NXBK3K5YYMD6FD41MVNP3JS1GABZ8TRTH2ZTMX,0x5e6497f0cf3ae2dedd5c2bacac403b7f3123b354df0188a67966235b6f9ba8d1,true,35783412
SP3JP0N1ZXGASRJ0F7QAHWFPGTVK9T2XNXDB908Z,0x5f4e75f7cf952b117c8053b4efb42d0049d80b8779f1de4d86da20e8c965a8c8,true,106531197